page_id,name,urlslug,ID,ALIGN,EYE,HAIR,SEX,GSM,ALIVE,APPEARANCES,FIRST APPEARANCE,Year
1025,Emil Blonsky (Earth-616),\/Emil_Blonsky_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,115,Apr-67,1967
1026,Absalom (Earth-616),\/Absalom_(Earth-616),Secret Identity,,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,6,May-92,1992
1027,Carl Creel (Earth-616),\/Carl_Creel_(Earth-616),Public Identity,Bad Characters,Blue Eyes,Bald,Male Characters,,Living Characters,202,Apr-64,1964
1029,Adam Warlock (Earth-616),\/Adam_Warlock_(Earth-616),No Dual Identity,Good Characters,White Eyes,Gold Hair,Male Characters,,Living Characters,252,Sep-67,1967
1030,Adam Neramani (Earth-616),\/Adam_Neramani_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,21,Oct-93,1993
1032,Eric Cameron (Earth-616),\/Eric_Cameron_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,5,Mar-80,1980
1033,Adri Nital (Earth-616),\/Adri_Nital_(Earth-616),No Dual Identity,Bad Characters,Red Eyes,Black Hair,Male Characters,,Deceased Characters,7,Jan-75,1975
1034,Adversary (Earth-616),\/Adversary_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,,Male Characters,,Living Characters,32,Dec-84,1984
1035,Aeroika (Earth-616),\/Aeroika_(Earth-616),,,,Gold Hair,Male Characters,,Living Characters,6,Jan-80,1980
1036,Agatha Harkness (Earth-616),\/Agatha_Harkness_(Earth-616),No Dual Identity,Good Characters,Blue Eyes,White Hair,Female Characters,,Deceased Characters,122,Jan-70,1970
1037,Agent Axis (Earth-616),\/Agent_Axis_(Earth-616),Secret Identity,Bad Characters,,White Hair,Male Characters,,Deceased Characters,13,Aug-77,1977
1038,Cynthia Glass (Earth-616),\/Cynthia_Glass_(Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Brown Hair,Female Characters,,Deceased Characters,6,Sep-91,1991
1039,Christoph Nord (Earth-616),\/Christoph_Nord_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,66,Feb-92,1992
1040,Aginar (Earth-616),\/Aginar_(Earth-616),Secret Identity,,Grey Eyes,Black Hair,Male Characters,,Living Characters,6,May-77,1977
1041,Agon (Earth-616),\/Agon_(Earth-616),No Dual Identity,,,Black Hair,Male Characters,,Deceased Characters,4,Jan-68,1968
1043,Alejandro Montoya (Earth-616),\/Alejandro_Montoya_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,18,Aug-79,1979
1047,Gabriel Lan (Earth-616),\/Gabriel_Lan_(Earth-616),Secret Identity,,Black Eyes,Black Hair,Male Characters,,Deceased Characters,14,Apr-81,1981
1048,Air-Walker (Automaton) (Earth-616),\/Air-Walker_(Automaton)_(Earth-616),,,Black Eyes,No Hair,Male Characters,,Living Characters,27,Mar-72,1972
1050,Ajak (Earth-616),\/Ajak_(Earth-616),Secret Identity,,Grey Eyes,Black Hair,Male Characters,,Living Characters,40,Aug-76,1976
1052,Thomas Jones (Earth-616),\/Thomas_Jones_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,11,Jun-89,1989
1054,Allatou (Earth-616),\/Allatou_(Earth-616),,Bad Characters,Red Eyes,Green Hair,Female Characters,,Living Characters,7,Oct-74,1974
1056,Alpha (Mutant) (Earth-616),\/Alpha_(Mutant)_(Earth-616),Secret Identity,Neutral Characters,Yellow Eyes,Bald,Male Characters,,Living Characters,11,Sep-74,1974
1057,Marlene Alraune (Earth-616),\/Marlene_Alraune_(Earth-616),No Dual Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,156,Jun-76,1976
1058,Amaa (Earth-616),\/Amaa_(Earth-616),,,,,Female Characters,,Living Characters,,Jan-83,1983
1060,Ambur Amaquelin (Earth-616),\/Ambur_Amaquelin_(Earth-616),No Dual Identity,,Blue Eyes,Red Hair,Female Characters,,Living Characters,1,11-Jan,2011
1061,Jason Strongbow (Earth-616),\/Jason_Strongbow_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,23,Sep-81,1981
1062,Lyle Dekker (Earth-616),\/Lyle_Dekker_(Earth-616),Public Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,11,Feb-78,1978
1063,Ammo (Earth-616),\/Ammo_(Earth-616),,Bad Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,4,Mar-88,1988
1065,Amphibius (Earth-616),\/Amphibius_(Earth-616),Secret Identity,Bad Characters,Yellow Eyes,No Hair,Male Characters,,Living Characters,38,Nov-69,1969
1066,Blanche Sitznski (Earth-616),\/Blanche_Sitznski_(Earth-616),Secret Identity,Bad Characters,Green Eyes,Blond Hair,Female Characters,,Living Characters,69,Jun-80,1980
1067,Tike Alicar (Earth-616),\/Tike_Alicar_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Deceased Characters,50,1-Jul,2001
1068,Yao (Earth-616),\/Yao_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Bald,Male Characters,,Living Characters,122,Jun-61,1961
1069,Andromeda Attumasen (Earth-616),\/Andromeda_Attumasen_(Earth-616),No Dual Identity,Good Characters,Green Eyes,Auburn Hair,Female Characters,,Living Characters,42,May-85,1985
1070,David Angar (Earth-616),\/David_Angar_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,37,Jun-73,1973
1071,Thomas Halloway (Earth-616),\/Thomas_Halloway_(Earth-616),Public Identity,Good Characters,Brown Eyes,White Hair,Male Characters,,Living Characters,135,Oct-39,1939
1072,Simon Halloway (Earth-616),\/Simon_Halloway_(Earth-616),Public Identity,Good Characters,,,Male Characters,,Living Characters,4,Oct-91,1991
1073,Warren Worthington III (Earth-616),\/Warren_Worthington_III_(Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,1230,Sep-63,1963
1075,Ani-Mator (Earth-616),\/Ani-Mator_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Bald,Male Characters,,Deceased Characters,8,Jan-88,1988
1078,Annihilus (Earth-616),\/Annihilus_(Earth-616),No Dual Identity,Neutral Characters,Green Eyes,No Hair,Male Characters,,Living Characters,125,Nov-68,1968
1080,Scott Lang (Earth-616),\/Scott_Lang_(Earth-616),Public Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Male Characters,,Living Characters,209,Mar-79,1979
1081,John Anvil (Earth-616),\/John_Anvil_(Earth-616),Public Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,7,Dec-74,1974
1084,En Sabah Nur (Earth-616),\/En_Sabah_Nur_(Earth-616),Public Identity,Bad Characters,Red Eyes,Black Hair,Male Characters,,Deceased Characters,160,Jun-86,1986
1085,Wundarr (Earth-616),\/Wundarr_(Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,46,Oct-73,1973
1086,Darren Bentley (Earth-616),\/Darren_Bentley_(Earth-616),Secret Identity,Bad Characters,,,Male Characters,,Deceased Characters,19,Jan-70,1970
1087,Zachary Drebb (Earth-616),\/Zachary_Drebb_(Earth-616),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,4,Jul-84,1984
1090,Aragorn (Earth-616),\/Aragorn_(Earth-616),No Dual Identity,Good Characters,Brown Eyes,White Hair,Male Characters,,Living Characters,128,Jan-68,1968
