page_id,name,urlslug,ID,ALIGN,EYE,HAIR,SEX,GSM,ALIVE,APPEARANCES,FIRST APPEARANCE,Year
27059,Hannah Fairmont (Earth-616),\/Hannah_Fairmont_(Earth-616),Public Identity,Good Characters,,Brown Hair,Female Characters,,Living Characters,27,Jul-98,1998
27061,Hank Bradley (Earth-616),\/Hank_Bradley_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,1,Jul-98,1998
27065,Isley (Earth-616),\/Isley_(Earth-616),Secret Identity,Bad Characters,,Red Hair,Male Characters,,Living Characters,2,2-May,2002
27070,Lonkarr (Earth-616),\/Lonkarr_(Earth-616),Secret Identity,Good Characters,,Black Hair,Male Characters,,Living Characters,1,Mar-99,1999
27083,Sedna (Earth-616),\/Sedna_(Earth-616),,,Yellow Eyes,Green Hair,Female Characters,,Living Characters,4,Sep-98,1998
27096,Tserron (Earth-616),\/Tserron_(Earth-616),,Bad Characters,,,Female Characters,,Deceased Characters,1,Mar-99,1999
27101,Lucky Lobo (Earth-616),\/Lucky_Lobo_(Earth-616),,Bad Characters,,,Male Characters,,Living Characters,9,Apr-65,1965
27113,Gene Lorrene (Earth-616),\/Gene_Lorrene_(Earth-616),Secret Identity,Bad Characters,,,Male Characters,,Living Characters,3,5-Jun,2005
27129,Pura-Shamutra (Earth-616),\/Pura-Shamutra_(Earth-616),,,Red Eyes,No Hair,,,Living Characters,,Sep-93,1993
27131,Mother-of-Pain,\/Mother-of-Pain,,Bad Characters,,,,,Living Characters,1,Dec-92,1992
27132,Griefsavor,\/Griefsavor,,Bad Characters,,,,,Living Characters,1,Dec-92,1992
27133,Ygmlosvorraich (Earth-616),\/Ygmlosvorraich_(Earth-616),,Bad Characters,,,,,Living Characters,1,Dec-92,1992
27136,Dreamstalker (Earth-616),\/Dreamstalker_(Earth-616),,Bad Characters,Variable Eyes,Black Hair,,,Living Characters,13,Jul-63,1963
27137,Zhilla Char (Earth-616),\/Zhilla_Char_(Earth-616),Secret Identity,Bad Characters,,Green Hair,Female Characters,,Living Characters,1,Feb-89,1989
27142,Pagan (Earth-616),\/Pagan_(Earth-616),,Bad Characters,Red Eyes,Black Hair,Male Characters,,Living Characters,9,Mar-99,1999
27207,Susan Austin (Earth-616),\/Susan_Austin_(Earth-616),Public Identity,Good Characters,,Strawberry Blond Hair,Female Characters,,Living Characters,50,Jun-88,1988
27208,Max (Earth-616),\/Max_(Earth-616),,Good Characters,,,Male Characters,,Living Characters,2,Feb-92,1992
27210,Ed Marrero (Earth-616),\/Ed_Marrero_(Earth-616),Public Identity,Good Characters,,Black Hair,Male Characters,,Living Characters,14,Feb-90,1990
27211,Tina Sapristi (Earth-616),\/Tina_Sapristi_(Earth-616),,Good Characters,,Black Hair,Female Characters,,Living Characters,3,Nov-86,1986
27253,Gregory Nettles (Earth-616),\/Gregory_Nettles_(Earth-616),Public Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,16,Feb-83,1983
27254,A. G. Bell (Earth-616),\/A._G._Bell_(Earth-616),Secret Identity,Good Characters,Black Eyes,Black Hair,Male Characters,,Living Characters,3,,
27272,Carjack (Earth-616),\/Carjack_(Earth-616),Secret Identity,Bad Characters,,Black Hair,Male Characters,,Deceased Characters,2,Jun-93,1993
27276,Destructon (Earth-616),\/Destructon_(Earth-616),,Bad Characters,,,,,Living Characters,2,Apr-68,1968
27279,Horst Eisele (Earth-616),\/Horst_Eisele_(Earth-616),Secret Identity,,Brown Eyes,Black Hair,Male Characters,,Living Characters,1,,
27290,Marcus Stone (Earth-616),\/Marcus_Stone_(Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,49,Jun-89,1989
27294,Number Fourteen (Rat Pack) (Earth-616),\/Number_Fourteen_(Rat_Pack)_(Earth-616),,,,,Male Characters,,Living Characters,1,Apr-97,1997
27296,Number One (Rat Pack) (Earth-616),\/Number_One_(Rat_Pack)_(Earth-616),Secret Identity,Bad Characters,,Brown Hair,Male Characters,,Living Characters,2,Apr-97,1997
27298,Paul Conklin (Earth-616),\/Paul_Conklin_(Earth-616),,Good Characters,,Brown Hair,Male Characters,,Deceased Characters,3,Oct-94,1994
27300,Margarita Ruiz (Earth-616),\/Margarita_Ruiz_(Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,31,Nov-90,1990
27302,Julia Concepcion (Earth-616),\/Julia_Concepcion_(Earth-616),Secret Identity,,Brown Eyes,Brown Hair,Female Characters,,Living Characters,2,Dec-93,1993
27305,Shelley Conklin (Earth-616),\/Shelley_Conklin_(Earth-616),Public Identity,Good Characters,,Blond Hair,Female Characters,,Living Characters,13,Nov-90,1990
27309,Ronald Hilliard (Earth-616),\/Ronald_Hilliard_(Earth-616),Known to Authorities Identity,Bad Characters,,Blond Hair,Male Characters,,Living Characters,11,Jan-96,1996
27312,Darren Mitchell (Earth-616),\/Darren_Mitchell_(Earth-616),Secret Identity,Good Characters,,,Male Characters,,Living Characters,11,Apr-00,2000
27332,Mark Howard (Earth-616),\/Mark_Howard_(Earth-616),Public Identity,,,,Male Characters,,Living Characters,9,Mar-97,1997
27333,Alison Mongrain (Earth-616),\/Alison_Mongrain_(Earth-616),,,Blue Eyes,Red Hair,Female Characters,,Living Characters,16,Nov-96,1996
27334,Martha Robertson (Earth-616),\/Martha_Robertson_(Earth-616),No Dual Identity,Good Characters,,Black Hair,Female Characters,,Living Characters,56,Jan-69,1969
27519,Amos Jardine (Earth-616),\/Amos_Jardine_(Earth-616),Public Identity,Neutral Characters,Black Eyes,White Hair,Male Characters,,Living Characters,6,Apr-78,1978
