page_id,name,urlslug,ID,ALIGN,EYE,HAIR,SEX,GSM,ALIVE,APPEARANCES,FIRST APPEARANCE,Year
503405,Vorster (Earth-616),\/Vorster_(Earth-616),Public Identity,Bad Characters,,Blond Hair,Male Characters,,Living Characters,1,11-Jun,2011
503417,Linda Brown (Earth-616),\/Linda_Brown_(Earth-616),Secret Identity,,,Blond Hair,Female Characters,,Living Characters,1,Jun-62,1962
503420,Aunt May (Earth-616),\/Aunt_May_(Earth-616),,,Blue Eyes,White Hair,Female Characters,,Living Characters,1,Jun-62,1962
503422,Uncle Ben (Earth-616),\/Uncle_Ben_(Earth-616),,,,Brown Hair,Male Characters,,Living Characters,1,Jun-62,1962
503435,Robert Christansen (Earth-616),\/Robert_Christansen_(Earth-616),Public Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,3,11-Jul,2011
503436,Pandora (Earth-616),\/Pandora_(Earth-616),,Neutral Characters,,Red Hair,Female Characters,,Living Characters,4,Nov-61,1961
503438,Karen Anderson (Earth-616),\/Karen_Anderson_(Earth-616),Public Identity,Neutral Characters,Blue Eyes,Brown Hair,Female Characters,,Living Characters,3,11-Jul,2011
503441,John Russel (Earth-616),\/John_Russel_(Earth-616),Public Identity,Neutral Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,3,11-Jul,2011
503443,Navee Moshtaghi (Earth-616),\/Navee_Moshtaghi_(Earth-616),Public Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,2,11-Jul,2011
503446,Dan Harper (Earth-616),\/Dan_Harper_(Earth-616),,,,,Male Characters,,Living Characters,2,Nov-61,1961
503465,Howard Stark Sr. (Earth-616),\/Howard_Stark_Sr._(Earth-616),Public Identity,Good Characters,,,Male Characters,,Deceased Characters,,,
503466,Edward Stark (Earth-616),\/Edward_Stark_(Earth-616),Public Identity,Good Characters,,,Male Characters,,Living Characters,,,
503507,Charlie Stokes (Earth-616),\/Charlie_Stokes_(Earth-616),Public Identity,Good Characters,,Black Hair,Male Characters,,Living Characters,1,11-Jul,2011
503534,Stanley Stewart (Zombie Clone) (Earth-616),\/Stanley_Stewart_(Zombie_Clone)_(Earth-616),Secret Identity,Bad Characters,,,Male Characters,,Deceased Characters,,11-May,2011
503535,Raleigh Lund (Zombie Clone) (Earth-616),\/Raleigh_Lund_(Zombie_Clone)_(Earth-616),Secret Identity,Bad Characters,,,Male Characters,,Deceased Characters,,11-May,2011
503536,Kingsley Rice (Zombie Clone) (Earth-616),\/Kingsley_Rice_(Zombie_Clone)_(Earth-616),Secret Identity,Bad Characters,,,Male Characters,,Living Characters,3,11-May,2011
503584,Baskin (Earth-616),\/Baskin_(Earth-616),No Dual Identity,,,,Male Characters,,Living Characters,1,Jun-88,1988
503629,Sofia Alvarez (Earth-616),\/Sofia_Alvarez_(Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,,Living Characters,2,10-Oct,2010
503633,Ignacio Alvarez (Earth-616),\/Ignacio_Alvarez_(Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,2,10-Oct,2010
503637,Reina Alvarez (Earth-616),\/Reina_Alvarez_(Earth-616),Public Identity,Good Characters,Brown Eyes,,Female Characters,,Living Characters,3,10-Oct,2010
503727,Winters (Earth-616),\/Winters_(Earth-616),No Dual Identity,,,,Male Characters,,Living Characters,1,Jun-88,1988
503733,Campbell (Marsten) (Earth-616),\/Campbell_(Marsten)_(Earth-616),Public Identity,,,Black Hair,Female Characters,,Living Characters,1,Jun-88,1988
503735,Bill Segrist (Earth-616),\/Bill_Segrist_(Earth-616),No Dual Identity,,,Brown Hair,Male Characters,,Living Characters,3,Nov-63,1963
503746,The Mercenary (Earth-616),\/The_Mercenary_(Earth-616),Secret Identity,Bad Characters,,,Male Characters,,Deceased Characters,1,Mar-70,1970
503749,The Overseer (Earth-616),\/The_Overseer_(Earth-616),Public Identity,,,,,,Deceased Characters,1,Sep-70,1970
503751,Mastermind (Bowers) (Earth-616),\/Mastermind_(Bowers)_(Earth-616),Secret Identity,Bad Characters,,Black Hair,Male Characters,,Living Characters,1,Nov-70,1970
503752,MK-5 (Earth-616),\/MK-5_(Earth-616),Secret Identity,Good Characters,Yellow Eyes,Blond Hair,Male Characters,,Deceased Characters,2,Dec-70,1970
503899,Taxtor (Earth-616),\/Taxtor_(Earth-616),,,,Purple Hair,Male Characters,,Living Characters,1,Oct-69,1969
503900,Roland Taylor (Earth-616),\/Roland_Taylor_(Earth-616),Public Identity,Good Characters,,Brown Hair,Male Characters,,Living Characters,1,May-96,1996
503960,Hayes (Earth-616),\/Hayes_(Earth-616),Public Identity,Good Characters,,Blond Hair,Male Characters,,Deceased Characters,1,11-Aug,2011
503969,Emmie Stevens (Earth-616),\/Emmie_Stevens_(Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,,Living Characters,1,11-Aug,2011
503974,Emmett (Earth-616),\/Emmett_(Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,1,11-Aug,2011
503981,Sigmund (Earth-616),\/Sigmund_(Earth-616),Public Identity,Good Characters,Brown Eyes,Bald,Male Characters,,Deceased Characters,2,11-Aug,2011
503987,Phil (Stamford resident) (Earth-616),\/Phil_(Stamford_resident)_(Earth-616),Public Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,1,11-Aug,2011
503989,Mignonette Gotlib (Earth-616),\/Mignonette_Gotlib_(Earth-616),Public Identity,Neutral Characters,Brown Eyes,Brown Hair,Female Characters,,Living Characters,1,11-Aug,2011
504037,Charles Davies (Earth-616),\/Charles_Davies_(Earth-616),Public Identity,Neutral Characters,,Black Hair,Male Characters,,Living Characters,1,11-Aug,2011
504125,Hector (Rapidfire) (Earth-616),\/Hector_(Rapidfire)_(Earth-616),Secret Identity,Bad Characters,,Black Hair,Male Characters,,Living Characters,1,Feb-93,1993
504126,Randolph Creed (Earth-616),\/Randolph_Creed_(Earth-616),Public Identity,Bad Characters,,Red Hair,Male Characters,,Deceased Characters,6,Feb-93,1993
504129,Elio Angelopolous III (Earth-616),\/Elio_Angelopolous_III_(Earth-616),Public Identity,Bad Characters,,Black Hair,Male Characters,,Living Characters,2,Apr-92,1992
504136,Cruz Bushmaster (Earth-616),\/Cruz_Bushmaster_(Earth-616),Secret Identity,Bad Characters,,Black Hair,Male Characters,,Deceased Characters,2,Apr-92,1992
504138,Contract (Earth-616),\/Contract_(Earth-616),Secret Identity,Bad Characters,,Black Hair,Male Characters,,Living Characters,2,Apr-93,1993
504198,Joshua Wirtham (Earth-616),\/Joshua_Wirtham_(Earth-616),Public Identity,Neutral Characters,,,Male Characters,,Deceased Characters,4,Feb-92,1992
504214,Big Roy (Earth-616),\/Big_Roy_(Earth-616),Public Identity,Bad Characters,,,Male Characters,,Living Characters,1,11-Aug,2011
504217,Indali (Earth-616),\/Indali_(Earth-616),Public Identity,Bad Characters,White Eyes,Black Hair,Female Characters,,Living Characters,1,11-Aug,2011
504229,Duane Wilson (Earth-616),\/Duane_Wilson_(Earth-616),Public Identity,Good Characters,,Brown Hair,Male Characters,,Deceased Characters,1,Feb-70,1970
504334,Samson Barrick (Earth-616),\/Samson_Barrick_(Earth-616),Secret Identity,Bad Characters,,,Male Characters,,Living Characters,1,Dec-44,1944
504342,Ryuhei Kodo (Earth-616),\/Ryuhei_Kodo_(Earth-616),Public Identity,,,Black Hair,Male Characters,,Living Characters,1,11-Jun,2011
504381,Hans Klaus (Earth-616),\/Hans_Klaus_(Earth-616),Public Identity,Good Characters,,Blond Hair,Male Characters,,Deceased Characters,3,Apr-70,1970
504385,Fred Jones (Earth-616),\/Fred_Jones_(Earth-616),Public Identity,Good Characters,,Brown Hair,Male Characters,,Living Characters,1,Nov-70,1970
504408,Jakkaru (Earth-616),\/Jakkaru_(Earth-616),Public Identity,Bad Characters,Black Eyes,Black Hair,Male Characters,,Living Characters,1,11-Jun,2011
504410,Lord Kodo (Earth-616),\/Lord_Kodo_(Earth-616),Public Identity,,,Grey Hair,Male Characters,,Living Characters,1,11-Jun,2011
504412,Suzume (Earth-616),\/Suzume_(Earth-616),Public Identity,Good Characters,Black Eyes,Black Hair,Female Characters,,Living Characters,1,11-Jun,2011
504435,Irene Martinez (Earth-616),\/Irene_Martinez_(Earth-616),Secret Identity,Good Characters,,,Female Characters,,Living Characters,1,,
504436,Isadora Martinez (Earth-616),\/Isadora_Martinez_(Earth-616),Public Identity,Good Characters,,Brown Hair,Female Characters,,Living Characters,4,May-00,2000
504437,Hijiri Sabuki (Earth-616),\/Hijiri_Sabuki_(Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Deceased Characters,1,Mar-78,1978
504443,Harris (NYPD) (Earth-616),\/Harris_(NYPD)_(Earth-616),Public Identity,,,,Male Characters,,Living Characters,2,May-69,1969
504445,Marty (Driver) (Earth-616),\/Marty_(Driver)_(Earth-616),Public Identity,,,Black Hair,Male Characters,,Living Characters,4,May-69,1969
504449,Husni (Earth-616),\/Husni_(Earth-616),Public Identity,Good Characters,,Bald,Male Characters,,Deceased Characters,1,10-Oct,2010
504452,Kadar (Earth-616),\/Kadar_(Earth-616),No Dual Identity,Good Characters,,,Male Characters,,Deceased Characters,2,10-Oct,2010
504494,Wendigo (Canadians) (Earth-616),\/Wendigo_(Canadians)_(Earth-616),,,,,,,Living Characters,,8-Jul,2008
504518,Adam (Earth-616),\/Adam_(Earth-616),Secret Identity,Bad Characters,Grey Eyes,Black Hair,Male Characters,,Living Characters,7,11-Aug,2011
504528,Jackal (Nazi) (Earth-616),\/Jackal_(Nazi)_(Earth-616),Secret Identity,Bad Characters,,Black Hair,Male Characters,,Living Characters,1,Jul-44,1944
504532,Edward Burk (Earth-616),\/Edward_Burk_(Earth-616),Public Identity,Bad Characters,,Brown Hair,Male Characters,,Living Characters,1,Jul-44,1944
504572,Kuurth (Earth-616),\/Kuurth_(Earth-616),Secret Identity,Bad Characters,Orange Eyes,No Hair,Male Characters,,Living Characters,4,11-Jul,2011
504630,Codename: Bravo (Richard) (Earth-616),\/Codename:_Bravo_(Richard)_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,White Hair,Male Characters,,Living Characters,12,11-Sep,2011
504633,Hydra Queen (Grace) (Earth-616),\/Hydra_Queen_(Grace)_(Earth-616),,Bad Characters,Green Eyes,Brown Hair,Female Characters,,Living Characters,10,11-Oct,2011
504644,Bamboo Knife Butcher (Earth-616),\/Bamboo_Knife_Butcher_(Earth-616),Secret Identity,Bad Characters,,Grey Hair,Male Characters,,Deceased Characters,1,Dec-44,1944
504647,Past (Earth-616),\/Past_(Earth-616),Secret Identity,Bad Characters,,Grey Hair,Male Characters,,Deceased Characters,1,Dec-44,1944
504651,Ed Turtle (Earth-616),\/Ed_Turtle_(Earth-616),Public Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,1,Dec-44,1944
504704,Herr Swastika (Earth-616),\/Herr_Swastika_(Earth-616),Secret Identity,Bad Characters,,Black Hair,Male Characters,,Living Characters,1,Dec-44,1944
504723,Monstro (WWII) (Earth-616),\/Monstro_(WWII)_(Earth-616),Secret Identity,Bad Characters,,Black Hair,Male Characters,,Deceased Characters,1,Dec-44,1944
504753,Prophet of Hate (Earth-616),\/Prophet_of_Hate_(Earth-616),Secret Identity,Bad Characters,,Black Hair,Male Characters,,Deceased Characters,1,Jan-45,1945
504756,Gregory Smith (Earth-616),\/Gregory_Smith_(Earth-616),Secret Identity,Bad Characters,,White Hair,Male Characters,,Deceased Characters,1,Jan-45,1945
504761,Shahrazad Rafiee (Earth-616),\/Shahrazad_Rafiee_(Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,,Living Characters,1,11-Sep,2011
504789,Lanie (Earth-616),\/Lanie_(Earth-616),Secret Identity,Good Characters,,Brown Hair,Female Characters,,Living Characters,1,11-Feb,2011
504822,Blackie (Earth-616),\/Blackie_(Earth-616),,Bad Characters,,Brown Hair,Male Characters,,Living Characters,6,Aug-65,1965
504828,Vanza (Earth-616),\/Vanza_(Earth-616),Public Identity,Good Characters,,Black Hair,Female Characters,,Living Characters,1,Dec-44,1944
504832,George Mulford (Earth-616),\/George_Mulford_(Earth-616),Public Identity,Bad Characters,,Black Hair,Male Characters,,Deceased Characters,1,Dec-44,1944
504838,Ogre (Gang Leader) (Earth-616),\/Ogre_(Gang_Leader)_(Earth-616),Secret Identity,Bad Characters,,Brown Hair,Male Characters,,Living Characters,1,Dec-44,1944
504893,Ghostly Terrill (Earth-616),\/Ghostly_Terrill_(Earth-616),Public Identity,Bad Characters,,White Hair,Male Characters,,Deceased Characters,1,Dec-44,1944
504895,Klug (Earth-616),\/Klug_(Earth-616),Secret Identity,Bad Characters,,Black Hair,Male Characters,,Deceased Characters,1,Dec-44,1944
505110,Laurent (Earth-616),\/Laurent_(Earth-616),Public Identity,Bad Characters,Black Eyes,White Hair,Male Characters,,Deceased Characters,1,11-Aug,2011
505112,Nancy Brown (Earth-616),\/Nancy_Brown_(Earth-616),Public Identity,Good Characters,,Black Hair,Female Characters,,Living Characters,4,Dec-44,1944
505116,Master Megalo (Earth-616),\/Master_Megalo_(Earth-616),Secret Identity,Bad Characters,,White Hair,Male Characters,,Deceased Characters,1,Jan-45,1945
505123,Doctor von Helstog (Earth-616),\/Doctor_von_Helstog_(Earth-616),Public Identity,Bad Characters,,White Hair,Male Characters,,Deceased Characters,1,Jan-45,1945
505126,Zerhu (Earth-616),\/Zerhu_(Earth-616),Secret Identity,Bad Characters,,,Male Characters,,Deceased Characters,1,Jan-45,1945
505195,Emma Collins (Earth-616),\/Emma_Collins_(Earth-616),No Dual Identity,Good Characters,,Grey Hair,Female Characters,,Living Characters,20,Jan-77,1977
505245,Percy Walker (Earth-616),\/Percy_Walker_(Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,1,Jan-45,1945
505258,Rachel Cole (Earth-616),\/Rachel_Cole_(Earth-616),No Dual Identity,Good Characters,Blue Eyes,Red Hair,Female Characters,,Living Characters,20,11-Oct,2011
